,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity
Fe3B4,Fe,3,B,4,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Fe5B2,Fe,5,B,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
FeC,Fe,1,C,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
FeC2,Fe,1,C,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Fe2C,Fe,2,C,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Fe3C4,Fe,3,C,4,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Fe5C2,Fe,5,C,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
FeN,Fe,1,N,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
FeN2,Fe,1,N,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Fe2N,Fe,2,N,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Fe3N4,Fe,3,N,4,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Fe5N2,Fe,5,N,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
NbB,Nb,1,B,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
NbB2,Nb,1,B,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Nb2B,Nb,2,B,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Nb3B4,Nb,3,B,4,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Nb5B2,Nb,5,B,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
NbC,Nb,1,C,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
NbC2,Nb,1,C,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Nb2C,Nb,2,C,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Nb3C4,Nb,3,C,4,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Nb5C2,Nb,5,C,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
NbN,Nb,1,N,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
NbN2,Nb,1,N,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Nb2N,Nb,2,N,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Nb3N4,Nb,3,N,4,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Nb5N2,Nb,5,N,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
WB,W,1,B,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
WB2,W,1,B,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
W2B,W,2,B,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
W3B4,W,3,B,4,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
W5B2,W,5,B,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
WC,W,1,C,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
