,M Number,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,Predicted_Energy
Mo2C,2,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.627573482
Mo3C4,3,4,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.611229787
Mo5C2,5,2,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.557583879
MoN,1,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.768323014
MoN2,1,2,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.933830886
Mo2N,2,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.795127361
Mo3N4,3,4,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.985957139
Mo5N2,5,2,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.992980159
MoB,1,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.587224242
MoB2,1,2,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.593552479
Mo2B,2,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.753891993
Mo3B4,3,4,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.596088779
Mo5B2,5,2,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.495292372
RhC,1,1,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.173986588
RhC2,1,2,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.223491133
Rh2C,2,1,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.238773116
Rh3C4,3,4,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.235505972
Rh5C2,5,2,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.194270437
RhN,1,1,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.296539085
RhN2,1,2,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.361318409
Rh2N,2,1,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.310743916
Rh3N4,3,4,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.396744936
Rh5N2,5,2,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.373633603
RhB,1,1,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.205084138
RhB2,1,2,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.218139345
Rh2B,2,1,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.332010325
Rh3B4,3,4,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.27050805
Rh5B2,5,2,45,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,45,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.167197125
OsC,1,1,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.227917626
OsC2,1,2,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.260973661
Os2C,2,1,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.263423857
Os3C4,3,4,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.311574602
Os5C2,5,2,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.266438532
OsN,1,1,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.269441864
OsN2,1,2,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.33622905
Os2N,2,1,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.300255197
Os3N4,3,4,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.371973509
Os5N2,5,2,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.35325706
OsB,1,1,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.342773175
OsB2,1,2,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.440057199
Os2B,2,1,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.424514415
Os3B4,3,4,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.481328651
Os5B2,5,2,76,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,76,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.469956183
ScC,1,1,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.789258012
ScC2,1,2,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.766672698
Sc2C,2,1,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.868286502
Sc3C4,3,4,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.733936791
Sc5C2,5,2,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.729807618
ScN,1,1,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.942469645
ScN2,1,2,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.022647186
Sc2N,2,1,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.96278951
Sc3N4,3,4,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.039229794
Sc5N2,5,2,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.052455612
ScB,1,1,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.458855067
ScB2,1,2,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.513861853
Sc2B,2,1,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.748909055
Sc3B4,3,4,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.586393372
Sc5B2,5,2,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.401594309
ReC,1,1,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.272417599
ReC2,1,2,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.301952513
Re2C,2,1,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.311472451
Re3C4,3,4,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.347252116
Re5C2,5,2,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.296695078
ReN,1,1,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.277067161
ReN2,1,2,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.366712672
Re2N,2,1,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.293907261
Re3N4,3,4,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.381718694
Re5N2,5,2,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.371412567
ReB,1,1,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.279728297
ReB2,1,2,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.311131098
Re2B,2,1,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.356547673
Re3B4,3,4,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.319598253
Re5B2,5,2,75,7,6,186.207,21.02,2.450214496,1.51,7.83352,0.06039663,75,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.259060035
VC,1,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.790193024
VC2,1,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.890693189
V2C,2,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.957166119
V3C4,3,4,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.838325184
V5C2,5,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.83446344
VN,1,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.778053935
VN2,1,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.907528503
V2N,2,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.806203708
V3N4,3,4,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.915129252
V5N2,5,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.93271379
VB,1,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.638688846
VB2,1,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.634618208
V2B,2,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.833648579
V3B4,3,4,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.802762496
V5B2,5,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.683418136
TaC,1,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.930094672
TaC2,1,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.929409572
Ta2C,2,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.949572654
Ta3C4,3,4,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.985326682
Ta5C2,5,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.966558883
TaN,1,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.79491592
TaN2,1,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.923859137
Ta2N,2,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.814649372
Ta3N4,3,4,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.991931518
Ta5N2,5,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.974494395
TaB,1,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.594903344
TaB2,1,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.733354952
Ta2B,2,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.842269918
Ta3B4,3,4,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.801589496
Ta5B2,5,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.703572418
MnC,1,1,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.30480183
MnC2,1,2,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.31821306
Mn2C,2,1,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.393889353
Mn3C4,3,4,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.316541986
Mn5C2,5,2,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.262020567
MnN,1,1,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.360535843
MnN2,1,2,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.476129457
Mn2N,2,1,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.397122459
Mn3N4,3,4,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.481623973
Mn5N2,5,2,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.478739798
MnB,1,1,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.365561565
MnB2,1,2,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.335446861
Mn2B,2,1,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.585271737
Mn3B4,3,4,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.374896211
Mn5B2,5,2,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.253773823
ZrC,1,1,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.958353666
ZrC2,1,2,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.957740171
Zr2C,2,1,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-1.039714459
Zr3C4,3,4,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.99305679
Zr5C2,5,2,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.963480271
ZrN,1,1,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.989205983
ZrN2,1,2,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.041049946
Zr2N,2,1,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.008014016
Zr3N4,3,4,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.111370563
Zr5N2,5,2,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.084663032
ZrB,1,1,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.725119904
ZrB2,1,2,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.683831589
Zr2B,2,1,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.92895771
Zr3B4,3,4,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.780303828
Zr5B2,5,2,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.612145214
CrC,1,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.563395324
CrC2,1,2,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.571197615
Cr2C,2,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.656618544
Cr3C4,3,4,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.574698122
Cr5C2,5,2,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.509798289
CrN,1,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.629158517
CrN2,1,2,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.932760453
Cr2N,2,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.673535722
Cr3N4,3,4,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.003121669
Cr5N2,5,2,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.938370024
CrB,1,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.726105899
CrB2,1,2,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.697135825
Cr2B,2,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.919377373
Cr3B4,3,4,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.694424813
Cr5B2,5,2,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.582450846
