,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,Energy,a,b,c,space_group
Ru2B2,Ru,2,B,2,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.35148528,2.607819,4.568953,8.153379,51
Ta2B2,Ta,2,B,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.67906937,4.659807984849269,4.659807984849269,3.17194,63
Tc2B2,Tc,2,B,2,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.42317356,2.8754318624277992,2.8754318624277992,5.945857,194
Ti2B2,Ti,2,B,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.43518893,3.5089212351160004,3.5089212351160004,3.5089212351160004,216
V2B2,V,2,B,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.2407627,4.297549562907913,4.297549562907913,2.969258,63
W2B2,W,2,B,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.86200774,3.109849,3.182862,4.550855911401393,63
Zr2B2,Zr,2,B,2,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.38849717,3.473762471741843,3.473762471741843,3.473762471741843,225
Mo4C3 ,Mo,4,C,3,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.59782552,9.8776384426709,9.8776384426709,9.877638103641427,166
Nb4C3 ,Nb,4,C,3,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.94305278,4.470766,4.470766,4.470766,221
Sc4C3 ,Sc,4,C,3,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.3789491,6.258228657399791,6.258228657399791,6.258228657399791,220
