Number,Predicted E,Name
220,-0.469281905,Re5N2
221,-0.416109893,ReB
222,-0.29223116,ReB2
223,-0.418418774,Re2B
224,-0.287813722,Re3B4
225,-0.299888305,Re5B2
226,-0.899997871,VC
227,-0.803577145,VC2
228,-0.909054963,V2C
229,-0.821296506,V3C4
230,-0.801311311,V5C2
231,-0.80325084,VN
232,-0.865873747,VN2
233,-0.807706858,V2N
234,-0.974143476,V3N4
235,-0.89531626,V5N2
236,-0.903105273,VB
237,-0.455717213,VB2
238,-0.953307477,V2B
239,-0.493899327,V3B4
240,-0.473163205,V5B2
241,-0.922218588,TaC
242,-0.951423237,TaC2
243,-0.925990879,Ta2C
244,-0.98751066,Ta3C4
245,-1.006879559,Ta5C2
246,-1.026313054,TaN
247,-1.052862561,TaN2
248,-1.029708274,Ta2N
249,-1.222960788,Ta3N4
250,-1.25508654,Ta5N2
251,-0.952234541,TaB
252,-0.816181643,TaB2
253,-0.980052853,Ta2B
254,-0.847725666,Ta3B4
255,-0.87030668,Ta5B2
256,-0.297447289,MnC
257,-0.202823202,MnC2
258,-0.299575324,Mn2C
259,-0.194347381,Mn3C4
260,-0.215259612,Mn5C2
261,-0.510468895,MnN
262,-0.434431034,MnN2
263,-0.513256824,Mn2N
264,-0.457531893,Mn3N4
265,-0.451742496,Mn5N2
266,-0.317914879,MnB
267,-0.183727789,MnB2
268,-0.325680291,Mn2B
269,-0.175024383,Mn3B4
270,-0.199228958,Mn5B2
271,-1.014945692,ZrC
272,-1.038421568,ZrC2
273,-1.029204317,Zr2C
274,-1.052999998,Zr3C4
275,-1.078231862,Zr5C2
276,-1.095151112,ZrN
277,-1.084788143,ZrN2
278,-1.106853002,Zr2N
279,-1.126255725,Zr3N4
280,-1.116228019,Zr5N2
281,-0.905686059,ZrB
282,-0.822943303,ZrB2
283,-0.941574344,Zr2B
284,-0.818895606,Zr3B4
285,-0.851961219,Zr5B2
286,-0.737248389,CrC
287,-0.617777845,CrC2
288,-0.740051067,Cr2C
289,-0.62804655,Cr3C4
290,-0.602977265,Cr5C2
291,-1.090087231,CrN
292,-1.247944448,CrN2
293,-1.090651558,Cr2N
294,-1.677758444,Cr3N4
295,-1.65134233,Cr5N2
296,-0.853735878,CrB
297,-0.575048937,CrB2
298,-0.87946044,Cr2B
299,-0.573323252,Cr3B4
300,-0.582251922,Cr5B2
