Formula,Predicted E,Outside or Within,Verify
Ti3B4,-0.575567691,Outside 0.16 of 0,
Ti5B2,-0.589556985,Outside 0.16 of 0,
TiC,-0.855889253,Outside 0.16 of 0,
TiC2,-0.812129538,Outside 0.16 of 0,
Ti2C,-0.881508004,Outside 0.16 of 0,
Ti3C4,-0.800516872,Outside 0.16 of 0,
Ti5C2,-0.820446422,Outside 0.16 of 0,
TiN,-1.07827847,Outside 0.16 of 0,
TiN2,-1.065891444,Outside 0.16 of 0,
Ti2N,-1.090270096,Outside 0.16 of 0,
Ti3N4,-1.069090042,Outside 0.16 of 0,
Ti5N2,-1.072546303,Outside 0.16 of 0,
ReB,-0.428219898,Outside 0.16 of 0,
ReB2,-0.320795182,Outside 0.16 of 0,
Re2B,-0.431163334,Outside 0.16 of 0,
Re3B4,-0.321047014,Outside 0.16 of 0,
Re5B2,-0.324734189,Outside 0.16 of 0,
ReC,-0.395771543,Outside 0.16 of 0,
ReC2,-0.305736224,Outside 0.16 of 0,
Re2C,-0.398714979,Outside 0.16 of 0,
Re3C4,-0.306961552,Outside 0.16 of 0,
Re5C2,-0.311163786,Outside 0.16 of 0,
ReN,-0.512337108,Outside 0.16 of 0,
ReN2,-0.459873977,Outside 0.16 of 0,
Re2N,-0.512089792,Outside 0.16 of 0,
Re3N4,-0.494283828,Outside 0.16 of 0,
Re5N2,-0.480742596,Outside 0.16 of 0,
ScB,-0.691976122,Outside 0.16 of 0,
ScB2,-0.384829202,Outside 0.16 of 0,
Sc2B,-0.72254511,Outside 0.16 of 0,
Sc3B4,-0.365020049,Outside 0.16 of 0,
Sc5B2,-0.381716885,Outside 0.16 of 0,
ScC,-0.804926743,Outside 0.16 of 0,
ScC2,-0.681402214,Outside 0.16 of 0,
Sc2C,-0.838015355,Outside 0.16 of 0,
Sc3C4,-0.589617271,Outside 0.16 of 0,
Sc5C2,-0.618777147,Outside 0.16 of 0,
ScN,-0.989579323,Outside 0.16 of 0,
ScN2,-0.955396191,Outside 0.16 of 0,
Sc2N,-1.001256834,Outside 0.16 of 0,
Sc3N4,-0.972727783,Outside 0.16 of 0,
Sc5N2,-0.978195373,Outside 0.16 of 0,
