Formula,Metal Symbol,M Number,X Symbol,X Number,Metal Mass,Metal Density,Metal Interatomic Distance,Metal Covalent Radius,X Mass,X Density,X Interatomic Distance,X Covalent Radius
Nb3B4,Nb,3,B,4,92.90638,8.57,2.6208243392168558,1.64,10.811,2.34,1.972269889478773,0.84
Nb5B2,Nb,5,B,2,92.90638,8.57,2.6208243392168558,1.64,10.811,2.34,1.972269889478773,0.84
Nb1C1,Nb,1,C,1,92.90638,8.57,2.6208243392168558,1.64,12.0107,2.2,2.085122400680275,0.76
Nb1C2,Nb,1,C,2,92.90638,8.57,2.6208243392168558,1.64,12.0107,2.2,2.085122400680275,0.76
Nb2C1,Nb,2,C,1,92.90638,8.57,2.6208243392168558,1.64,12.0107,2.2,2.085122400680275,0.76
Nb3C4,Nb,3,C,4,92.90638,8.57,2.6208243392168558,1.64,12.0107,2.2,2.085122400680275,0.76
Nb5C2,Nb,5,C,2,92.90638,8.57,2.6208243392168558,1.64,12.0107,2.2,2.085122400680275,0.76
Ir1N1,Ir,1,N,1,192.217,22.42,2.423641628211529,1.41,14.0067,0.808,3.064722544994379,0.71
Ir1N2,Ir,1,N,2,192.217,22.42,2.423641628211529,1.41,14.0067,0.808,3.064722544994379,0.71
Ir2N1,Ir,2,N,1,192.217,22.42,2.423641628211529,1.41,14.0067,0.808,3.064722544994379,0.71
Ir3N4,Ir,3,N,4,192.217,22.42,2.423641628211529,1.41,14.0067,0.808,3.064722544994379,0.71
Ir5N2,Ir,5,N,2,192.217,22.42,2.423641628211529,1.41,14.0067,0.808,3.064722544994379,0.71
Ir1B1,Ir,1,B,1,192.217,22.42,2.423641628211529,1.41,10.811,2.34,1.972269889478773,0.84
Ir1B2,Ir,1,B,2,192.217,22.42,2.423641628211529,1.41,10.811,2.34,1.972269889478773,0.84
Ir2B1,Ir,2,B,1,192.217,22.42,2.423641628211529,1.41,10.811,2.34,1.972269889478773,0.84
Ir3B4,Ir,3,B,4,192.217,22.42,2.423641628211529,1.41,10.811,2.34,1.972269889478773,0.84
Ir5B2,Ir,5,B,2,192.217,22.42,2.423641628211529,1.41,10.811,2.34,1.972269889478773,0.84
Ir1C1,Ir,1,C,1,192.217,22.42,2.423641628211529,1.41,12.0107,2.2,2.085122400680275,0.76
Ir1C2,Ir,1,C,2,192.217,22.42,2.423641628211529,1.41,12.0107,2.2,2.085122400680275,0.76
Ir2C1,Ir,2,C,1,192.217,22.42,2.423641628211529,1.41,12.0107,2.2,2.085122400680275,0.76
Ir3C4,Ir,3,C,4,192.217,22.42,2.423641628211529,1.41,12.0107,2.2,2.085122400680275,0.76
Ir5C2,Ir,5,C,2,192.217,22.42,2.423641628211529,1.41,12.0107,2.2,2.085122400680275,0.76
V1N1,V,1,N,1,50.9415,6.11,2.40118993341677,1.53,14.0067,0.808,3.064722544994379,0.71
V1N2,V,1,N,2,50.9415,6.11,2.40118993341677,1.53,14.0067,0.808,3.064722544994379,0.71
V2N1,V,2,N,1,50.9415,6.11,2.40118993341677,1.53,14.0067,0.808,3.064722544994379,0.71
V3N4,V,3,N,4,50.9415,6.11,2.40118993341677,1.53,14.0067,0.808,3.064722544994379,0.71
V5N2,V,5,N,2,50.9415,6.11,2.40118993341677,1.53,14.0067,0.808,3.064722544994379,0.71
V1B1,V,1,B,1,50.9415,6.11,2.40118993341677,1.53,10.811,2.34,1.972269889478773,0.84
V1B2,V,1,B,2,50.9415,6.11,2.40118993341677,1.53,10.811,2.34,1.972269889478773,0.84
V2B1,V,2,B,1,50.9415,6.11,2.40118993341677,1.53,10.811,2.34,1.972269889478773,0.84
V3B4,V,3,B,4,50.9415,6.11,2.40118993341677,1.53,10.811,2.34,1.972269889478773,0.84
V5B2,V,5,B,2,50.9415,6.11,2.40118993341677,1.53,10.811,2.34,1.972269889478773,0.84
V1C1,V,1,C,1,50.9415,6.11,2.40118993341677,1.53,12.0107,2.2,2.085122400680275,0.76
V1C2,V,1,C,2,50.9415,6.11,2.40118993341677,1.53,12.0107,2.2,2.085122400680275,0.76
V2C1,V,2,C,1,50.9415,6.11,2.40118993341677,1.53,12.0107,2.2,2.085122400680275,0.76
V3C4,V,3,C,4,50.9415,6.11,2.40118993341677,1.53,12.0107,2.2,2.085122400680275,0.76
V5C2,V,5,C,2,50.9415,6.11,2.40118993341677,1.53,12.0107,2.2,2.085122400680275,0.76
Mo1N1,Mo,1,N,1,95.94,10.22,2.498039380502796,1.54,14.0067,0.808,3.064722544994379,0.71
Mo1N2,Mo,1,N,2,95.94,10.22,2.498039380502796,1.54,14.0067,0.808,3.064722544994379,0.71
Mo2N1,Mo,2,N,1,95.94,10.22,2.498039380502796,1.54,14.0067,0.808,3.064722544994379,0.71
Mo3N4,Mo,3,N,4,95.94,10.22,2.498039380502796,1.54,14.0067,0.808,3.064722544994379,0.71
Mo5N2,Mo,5,N,2,95.94,10.22,2.498039380502796,1.54,14.0067,0.808,3.064722544994379,0.71
Mo1B1,Mo,1,B,1,95.94,10.22,2.498039380502796,1.54,10.811,2.34,1.972269889478773,0.84
Mo1B2,Mo,1,B,2,95.94,10.22,2.498039380502796,1.54,10.811,2.34,1.972269889478773,0.84
Mo2B1,Mo,2,B,1,95.94,10.22,2.498039380502796,1.54,10.811,2.34,1.972269889478773,0.84
Mo3B4,Mo,3,B,4,95.94,10.22,2.498039380502796,1.54,10.811,2.34,1.972269889478773,0.84
Mo5B2,Mo,5,B,2,95.94,10.22,2.498039380502796,1.54,10.811,2.34,1.972269889478773,0.84
Mo1C1,Mo,1,C,1,95.94,10.22,2.498039380502796,1.54,12.0107,2.2,2.085122400680275,0.76
Mo1C2,Mo,1,C,2,95.94,10.22,2.498039380502796,1.54,12.0107,2.2,2.085122400680275,0.76
Mo2C1,Mo,2,C,1,95.94,10.22,2.498039380502796,1.54,12.0107,2.2,2.085122400680275,0.76
Mo3C4,Mo,3,C,4,95.94,10.22,2.498039380502796,1.54,12.0107,2.2,2.085122400680275,0.76
Mo5C2,Mo,5,C,2,95.94,10.22,2.498039380502796,1.54,12.0107,2.2,2.085122400680275,0.76
Ta1N1,Ta,1,N,1,180.9479,16.654,2.622776820118506,1.7,14.0067,0.808,3.064722544994379,0.71
Ta1N2,Ta,1,N,2,180.9479,16.654,2.622776820118506,1.7,14.0067,0.808,3.064722544994379,0.71
Ta2N1,Ta,2,N,1,180.9479,16.654,2.622776820118506,1.7,14.0067,0.808,3.064722544994379,0.71
Ta3N4,Ta,3,N,4,180.9479,16.654,2.622776820118506,1.7,14.0067,0.808,3.064722544994379,0.71
Ta5N2,Ta,5,N,2,180.9479,16.654,2.622776820118506,1.7,14.0067,0.808,3.064722544994379,0.71
Ta1B1,Ta,1,B,1,180.9479,16.654,2.622776820118506,1.7,10.811,2.34,1.972269889478773,0.84
Ta1B2,Ta,1,B,2,180.9479,16.654,2.622776820118506,1.7,10.811,2.34,1.972269889478773,0.84
Ta2B1,Ta,2,B,1,180.9479,16.654,2.622776820118506,1.7,10.811,2.34,1.972269889478773,0.84
Ta3B4,Ta,3,B,4,180.9479,16.654,2.622776820118506,1.7,10.811,2.34,1.972269889478773,0.84
Ta5B2,Ta,5,B,2,180.9479,16.654,2.622776820118506,1.7,10.811,2.34,1.972269889478773,0.84
Ta1C1,Ta,1,C,1,180.9479,16.654,2.622776820118506,1.7,12.0107,2.2,2.085122400680275,0.76
Ta1C2,Ta,1,C,2,180.9479,16.654,2.622776820118506,1.7,12.0107,2.2,2.085122400680275,0.76
Ta2C1,Ta,2,C,1,180.9479,16.654,2.622776820118506,1.7,12.0107,2.2,2.085122400680275,0.76
Ta3C4,Ta,3,C,4,180.9479,16.654,2.622776820118506,1.7,12.0107,2.2,2.085122400680275,0.76
Ta5C2,Ta,5,C,2,180.9479,16.654,2.622776820118506,1.7,12.0107,2.2,2.085122400680275,0.76
Zr1N1,Zr,1,N,1,91.224,6.506,2.855494700971205,1.75,14.0067,0.808,3.064722544994379,0.71
Zr1N2,Zr,1,N,2,91.224,6.506,2.855494700971205,1.75,14.0067,0.808,3.064722544994379,0.71
Zr2N1,Zr,2,N,1,91.224,6.506,2.855494700971205,1.75,14.0067,0.808,3.064722544994379,0.71
Zr3N4,Zr,3,N,4,91.224,6.506,2.855494700971205,1.75,14.0067,0.808,3.064722544994379,0.71
Zr5N2,Zr,5,N,2,91.224,6.506,2.855494700971205,1.75,14.0067,0.808,3.064722544994379,0.71
Zr1B1,Zr,1,B,1,91.224,6.506,2.855494700971205,1.75,10.811,2.34,1.972269889478773,0.84
Zr1B2,Zr,1,B,2,91.224,6.506,2.855494700971205,1.75,10.811,2.34,1.972269889478773,0.84
Zr2B1,Zr,2,B,1,91.224,6.506,2.855494700971205,1.75,10.811,2.34,1.972269889478773,0.84
Zr3B4,Zr,3,B,4,91.224,6.506,2.855494700971205,1.75,10.811,2.34,1.972269889478773,0.84
Zr5B2,Zr,5,B,2,91.224,6.506,2.855494700971205,1.75,10.811,2.34,1.972269889478773,0.84
Zr1C1,Zr,1,C,1,91.224,6.506,2.855494700971205,1.75,12.0107,2.2,2.085122400680275,0.76
Zr1C2,Zr,1,C,2,91.224,6.506,2.855494700971205,1.75,12.0107,2.2,2.085122400680275,0.76
Zr2C1,Zr,2,C,1,91.224,6.506,2.855494700971205,1.75,12.0107,2.2,2.085122400680275,0.76
Zr3C4,Zr,3,C,4,91.224,6.506,2.855494700971205,1.75,12.0107,2.2,2.085122400680275,0.76
Zr5C2,Zr,5,C,2,91.224,6.506,2.855494700971205,1.75,12.0107,2.2,2.085122400680275,0.76
Cr1N1,Cr,1,N,1,51.9961,7.19,2.2899726798639817,1.39,14.0067,0.808,3.064722544994379,0.71
Cr1N2,Cr,1,N,2,51.9961,7.19,2.2899726798639817,1.39,14.0067,0.808,3.064722544994379,0.71
