Formula,Metal Symbol,M Number,X Symbol,X Number,Metal Mass,Metal Density,Metal Interatomic Distance,Metal Covalent Radius,X Mass,X Density,X Interatomic Distance,X Covalent Radius
Ni3B4,Ni,3,B,4,58.6934,8.902,2.220497220254741,1.24,10.811,2.34,1.972269889478773,0.84
Ni5B2,Ni,5,B,2,58.6934,8.902,2.220497220254741,1.24,10.811,2.34,1.972269889478773,0.84
Ni1C1,Ni,1,C,1,58.6934,8.902,2.220497220254741,1.24,12.0107,2.2,2.085122400680275,0.76
Ni1C2,Ni,1,C,2,58.6934,8.902,2.220497220254741,1.24,12.0107,2.2,2.085122400680275,0.76
Ni2C1,Ni,2,C,1,58.6934,8.902,2.220497220254741,1.24,12.0107,2.2,2.085122400680275,0.76
Ni3C4,Ni,3,C,4,58.6934,8.902,2.220497220254741,1.24,12.0107,2.2,2.085122400680275,0.76
Ni5C2,Ni,5,C,2,58.6934,8.902,2.220497220254741,1.24,12.0107,2.2,2.085122400680275,0.76
Sc1N1,Sc,1,N,1,44.95591,2.989,2.9230526221566113,1.7,14.0067,0.808,3.064722544994379,0.71
Sc1N2,Sc,1,N,2,44.95591,2.989,2.9230526221566113,1.7,14.0067,0.808,3.064722544994379,0.71
Sc2N1,Sc,2,N,1,44.95591,2.989,2.9230526221566113,1.7,14.0067,0.808,3.064722544994379,0.71
Sc3N4,Sc,3,N,4,44.95591,2.989,2.9230526221566113,1.7,14.0067,0.808,3.064722544994379,0.71
Sc5N2,Sc,5,N,2,44.95591,2.989,2.9230526221566113,1.7,14.0067,0.808,3.064722544994379,0.71
Sc1B1,Sc,1,B,1,44.95591,2.989,2.9230526221566113,1.7,10.811,2.34,1.972269889478773,0.84
Sc1B2,Sc,1,B,2,44.95591,2.989,2.9230526221566113,1.7,10.811,2.34,1.972269889478773,0.84
Sc2B1,Sc,2,B,1,44.95591,2.989,2.9230526221566113,1.7,10.811,2.34,1.972269889478773,0.84
Sc3B4,Sc,3,B,4,44.95591,2.989,2.9230526221566113,1.7,10.811,2.34,1.972269889478773,0.84
Sc5B2,Sc,5,B,2,44.95591,2.989,2.9230526221566113,1.7,10.811,2.34,1.972269889478773,0.84
Sc1C1,Sc,1,C,1,44.95591,2.989,2.9230526221566113,1.7,12.0107,2.2,2.085122400680275,0.76
Sc1C2,Sc,1,C,2,44.95591,2.989,2.9230526221566113,1.7,12.0107,2.2,2.085122400680275,0.76
Sc2C1,Sc,2,C,1,44.95591,2.989,2.9230526221566113,1.7,12.0107,2.2,2.085122400680275,0.76
Sc3C4,Sc,3,C,4,44.95591,2.989,2.9230526221566113,1.7,12.0107,2.2,2.085122400680275,0.76
Sc5C2,Sc,5,C,2,44.95591,2.989,2.9230526221566113,1.7,12.0107,2.2,2.085122400680275,0.76
Re1N1,Re,1,N,1,186.207,21.02,2.450214496174702,1.51,14.0067,0.808,3.064722544994379,0.71
Re1N2,Re,1,N,2,186.207,21.02,2.450214496174702,1.51,14.0067,0.808,3.064722544994379,0.71
Re2N1,Re,2,N,1,186.207,21.02,2.450214496174702,1.51,14.0067,0.808,3.064722544994379,0.71
Re3N4,Re,3,N,4,186.207,21.02,2.450214496174702,1.51,14.0067,0.808,3.064722544994379,0.71
Re5N2,Re,5,N,2,186.207,21.02,2.450214496174702,1.51,14.0067,0.808,3.064722544994379,0.71
Re1B1,Re,1,B,1,186.207,21.02,2.450214496174702,1.51,10.811,2.34,1.972269889478773,0.84
Re1B2,Re,1,B,2,186.207,21.02,2.450214496174702,1.51,10.811,2.34,1.972269889478773,0.84
Re2B1,Re,2,B,1,186.207,21.02,2.450214496174702,1.51,10.811,2.34,1.972269889478773,0.84
Re3B4,Re,3,B,4,186.207,21.02,2.450214496174702,1.51,10.811,2.34,1.972269889478773,0.84
Re5B2,Re,5,B,2,186.207,21.02,2.450214496174702,1.51,10.811,2.34,1.972269889478773,0.84
Re1C1,Re,1,C,1,186.207,21.02,2.450214496174702,1.51,12.0107,2.2,2.085122400680275,0.76
Re1C2,Re,1,C,2,186.207,21.02,2.450214496174702,1.51,12.0107,2.2,2.085122400680275,0.76
Re2C1,Re,2,C,1,186.207,21.02,2.450214496174702,1.51,12.0107,2.2,2.085122400680275,0.76
Re3C4,Re,3,C,4,186.207,21.02,2.450214496174702,1.51,12.0107,2.2,2.085122400680275,0.76
Re5C2,Re,5,C,2,186.207,21.02,2.450214496174702,1.51,12.0107,2.2,2.085122400680275,0.76
Ti1N1,Ti,1,N,1,47.867,4.54,2.5966283435174167,1.6,14.0067,0.808,3.064722544994379,0.71
Ti1N2,Ti,1,N,2,47.867,4.54,2.5966283435174167,1.6,14.0067,0.808,3.064722544994379,0.71
Ti2N1,Ti,2,N,1,47.867,4.54,2.5966283435174167,1.6,14.0067,0.808,3.064722544994379,0.71
Ti3N4,Ti,3,N,4,47.867,4.54,2.5966283435174167,1.6,14.0067,0.808,3.064722544994379,0.71
Ti5N2,Ti,5,N,2,47.867,4.54,2.5966283435174167,1.6,14.0067,0.808,3.064722544994379,0.71
Ti1B1,Ti,1,B,1,47.867,4.54,2.5966283435174167,1.6,10.811,2.34,1.972269889478773,0.84
Ti1B2,Ti,1,B,2,47.867,4.54,2.5966283435174167,1.6,10.811,2.34,1.972269889478773,0.84
Ti2B1,Ti,2,B,1,47.867,4.54,2.5966283435174167,1.6,10.811,2.34,1.972269889478773,0.84
Ti3B4,Ti,3,B,4,47.867,4.54,2.5966283435174167,1.6,10.811,2.34,1.972269889478773,0.84
Ti5B2,Ti,5,B,2,47.867,4.54,2.5966283435174167,1.6,10.811,2.34,1.972269889478773,0.84
Ti1C1,Ti,1,C,1,47.867,4.54,2.5966283435174167,1.6,12.0107,2.2,2.085122400680275,0.76
Ti1C2,Ti,1,C,2,47.867,4.54,2.5966283435174167,1.6,12.0107,2.2,2.085122400680275,0.76
Ti2C1,Ti,2,C,1,47.867,4.54,2.5966283435174167,1.6,12.0107,2.2,2.085122400680275,0.76
Ti3C4,Ti,3,C,4,47.867,4.54,2.5966283435174167,1.6,12.0107,2.2,2.085122400680275,0.76
Ti5C2,Ti,5,C,2,47.867,4.54,2.5966283435174167,1.6,12.0107,2.2,2.085122400680275,0.76
Os1N1,Os,1,N,1,190.23,22.57,2.409898903360234,1.44,14.0067,0.808,3.064722544994379,0.71
Os1N2,Os,1,N,2,190.23,22.57,2.409898903360234,1.44,14.0067,0.808,3.064722544994379,0.71
Os2N1,Os,2,N,1,190.23,22.57,2.409898903360234,1.44,14.0067,0.808,3.064722544994379,0.71
Os3N4,Os,3,N,4,190.23,22.57,2.409898903360234,1.44,14.0067,0.808,3.064722544994379,0.71
Os5N2,Os,5,N,2,190.23,22.57,2.409898903360234,1.44,14.0067,0.808,3.064722544994379,0.71
Os1B1,Os,1,B,1,190.23,22.57,2.409898903360234,1.44,10.811,2.34,1.972269889478773,0.84
Os1B2,Os,1,B,2,190.23,22.57,2.409898903360234,1.44,10.811,2.34,1.972269889478773,0.84
Os2B1,Os,2,B,1,190.23,22.57,2.409898903360234,1.44,10.811,2.34,1.972269889478773,0.84
Os3B4,Os,3,B,4,190.23,22.57,2.409898903360234,1.44,10.811,2.34,1.972269889478773,0.84
Os5B2,Os,5,B,2,190.23,22.57,2.409898903360234,1.44,10.811,2.34,1.972269889478773,0.84
Os1C1,Os,1,C,1,190.23,22.57,2.409898903360234,1.44,12.0107,2.2,2.085122400680275,0.76
Os1C2,Os,1,C,2,190.23,22.57,2.409898903360234,1.44,12.0107,2.2,2.085122400680275,0.76
Os2C1,Os,2,C,1,190.23,22.57,2.409898903360234,1.44,12.0107,2.2,2.085122400680275,0.76
Os3C4,Os,3,C,4,190.23,22.57,2.409898903360234,1.44,12.0107,2.2,2.085122400680275,0.76
Os5C2,Os,5,C,2,190.23,22.57,2.409898903360234,1.44,12.0107,2.2,2.085122400680275,0.76
